Wall time,Step,Value
1511912094.0330465,47340,22.0
1511912302.0703027,47405,12.0
1511912367.9725866,47428,24.0
1511912704.0895517,47534,24.0
1511913055.717,47643,12.0
1511913202.5086198,47685,25.0
1511914165.346669,47980,22.0
1511916585.4310164,48730,22.0
1511916842.057889,48808,24.0
1511917235.8310597,48935,19.0
1511918955.3573318,49466,22.0
1511919119.4908795,49514,20.0
1511919477.3630793,49622,22.0
1511919587.4945412,49655,20.0
1511919827.2282472,49726,19.0
1511921010.975612,50086,24.0
1511921621.6367946,50277,23.0
1511922124.0533752,50437,22.0
1511922617.4978034,50591,16.0
1511922929.8874018,50685,24.0
1511924833.234595,51256,23.0
1511925326.8976724,51412,13.0
1511925474.800491,51459,23.0
1511926412.1711967,51751,14.0
1511926601.2929776,51811,21.0
1511927102.539928,51966,22.0
1511927662.405673,52141,24.0
1511928389.8931572,52363,24.0
1511928500.9186416,52397,23.0
1511929004.7109575,52550,22.0
1511929050.1244097,52564,24.0
1511930262.7972333,52923,24.0
1511931085.3858612,53164,20.0
1511931114.0036998,53171,23.0
1511931120.1177418,53176,24.0
1511931142.847895,53179,22.0
1511931624.3138351,53320,20.0
1511931787.8241844,53364,19.0
1511932508.8995392,53582,22.0
1511932899.3379357,53699,23.0
1511934455.3678768,54150,36.0
1511934879.9135199,54265,16.0
1511935312.1291406,54395,32.0
1511935468.2924109,54440,24.0
1511936556.6689875,54756,20.0
1511937395.8702507,55002,24.0
1511937425.4720078,55009,24.0
1511937991.180597,55174,24.0
1511938172.2604113,55224,24.0
1511940093.578223,55795,29.0
1511940703.495058,55965,22.0
1511940749.9696941,55977,23.0
1511941068.4122941,56066,27.0
1511941700.6555402,56246,9.0
1511941807.577745,56278,22.0
1511942446.247707,56460,12.0
1511943470.635816,56758,23.0
1511943499.452354,56763,24.0
1511944116.2662337,56943,23.0
1511945092.0837016,57219,10.0
1511947015.2853582,57752,40.0
1511947535.6187596,57898,21.0
1511947935.9195602,58014,24.0
1511948495.1324713,58176,23.0
1511948596.1286688,58204,21.0
1511948653.4264557,58222,20.0
1511950386.673239,58722,24.0
1511950543.8740022,58768,24.0
1511950975.7620492,58890,23.0
1511951699.6070476,59100,24.0
1511951808.3303413,59128,24.0
1511953539.351295,59637,24.0
1511953566.7193615,59643,24.0
1511953626.1355324,59663,24.0
1511953942.4538524,59755,23.0
1511954559.7892976,59934,24.0
1511957097.7962308,60664,24.0
1511957331.787194,60735,24.0
1511957896.3822749,60898,23.0
1511958740.5285194,61138,15.0
1511960314.4310055,61597,11.0
1511960582.6807742,61677,12.0
1511961600.105998,61976,21.0
1511961712.7086482,62006,18.0
1511962833.1436431,62331,15.0
1511963366.5415416,62480,12.0
1511964043.880239,62675,14.0
1511964795.336807,62887,15.0
1511965079.0930464,62972,31.0
1511965639.6317768,63128,18.0
1511966294.768978,63324,12.0
1511967085.423568,63556,15.0
1511967530.8448122,63683,22.0
1511968560.075783,63979,9.0
1511969130.902973,64145,22.0
1511969828.7993963,64352,23.0
1511971053.1818366,64701,22.0
1511971227.6163676,64750,19.0
1511972311.5816271,65060,33.0
1511972454.7621586,65100,28.0
1511973885.403395,65507,19.0
1511974752.4663315,65757,19.0
1511976425.7826736,66245,11.0
1511976980.2309256,66406,21.0
1511977076.8205216,66433,19.0
1511977228.5783095,66479,27.0
1511978646.1527116,66897,24.0
1511981428.836188,67723,23.0
1511981483.7367427,67738,35.0
1511981797.049641,67836,24.0
1511981973.5518224,67888,24.0
1511982500.8112109,68048,24.0
1511984462.893339,68629,22.0
1511984492.9245775,68643,20.0
1511985412.2983828,68911,24.0
1511985481.9163654,68933,23.0
1511986306.567936,69175,21.0
1511986572.591456,69254,21.0
1511986965.1005075,69373,21.0
1511988845.7661662,69920,15.0
1511989252.2404797,70035,3.0
1511989512.716431,70114,6.0
1511990389.2338727,70371,5.0
1511990662.9398482,70453,5.0
1511992179.5694423,70886,4.0
1511992596.047514,71013,6.0
1511992702.7513323,71038,4.0
1511993067.2879078,71154,6.0
1511993833.895802,71363,4.0
1511994007.659498,71415,5.0
1511994093.9410594,71442,7.0
1511994208.5971222,71468,5.0
1511994294.8809083,71493,5.0
