Wall time,Step,Value
1512460333.2533345,29038,23.0
1512460438.008546,29063,21.0
1512460512.8526175,29079,20.0
1512460560.1792996,29091,20.0
1512460987.3833218,29202,20.0
1512461227.4472523,29264,21.0
1512462071.2259965,29472,22.0
1512462094.5383418,29478,20.0
1512462142.7152808,29488,20.0
1512462341.8748915,29538,21.0
1512462342.9582193,29539,21.0
1512462442.708688,29562,21.0
1512462573.7164824,29593,22.0
1512462635.7590296,29614,23.0
1512463220.9700434,29747,21.0
1512463564.8946605,29829,21.0
1512463565.3347304,29830,19.0
1512464272.4340062,30001,18.0
1512464282.256956,30006,20.0
1512464380.921634,30032,21.0
1512464578.6984777,30077,21.0
1512464646.9296162,30095,13.0
1512464995.4885683,30174,20.0
1512465290.1186197,30244,22.0
1512465448.4425151,30285,23.0
1512465620.8495421,30328,22.0
1512466189.9750266,30461,20.0
1512466238.27245,30471,22.0
1512466659.0701904,30572,22.0
1512466838.0467317,30614,22.0
1512467246.3494656,30709,23.0
1512467291.8650565,30721,21.0
1512467365.6556578,30740,24.0
1512468674.4162652,31054,21.0
1512468896.2970798,31107,19.0
1512470130.2865317,31408,19.0
1512470274.8029842,31445,22.0
1512471311.028994,31698,20.0
1512471427.31714,31724,23.0
1512471784.3934412,31811,22.0
1512472041.451184,31875,20.0
1512472077.1070414,31882,20.0
1512472115.1073844,31890,21.0
1512472315.3698351,31938,20.0
1512472339.9775665,31946,22.0
1512472584.361019,32006,22.0
1512472631.7121906,32019,20.0
1512473297.89002,32176,20.0
1512473442.7828166,32209,21.0
1512473607.5663362,32251,22.0
1512474406.6922095,32437,23.0
1512474786.354319,32531,19.0
1512474843.1615865,32547,11.0
1512475127.59653,32613,20.0
1512475320.8278334,32659,20.0
1512475507.3327312,32708,9.0
1512475748.6456115,32764,21.0
1512476293.4405859,32897,22.0
1512476334.119087,32906,22.0
1512476733.6370265,33004,22.0
1512476776.2130547,33016,22.0
1512476885.6190426,33037,19.0
1512477344.343256,33154,20.0
1512477456.515443,33181,19.0
1512477463.340448,33183,21.0
1512477835.4357157,33273,23.0
1512478120.8337135,33342,14.0
1512478238.9121273,33370,20.0
1512478275.022131,33377,20.0
1512478391.1901631,33405,19.0
